Date,3m8ox4pDb7,3m8ox4pDbC,3m8ox4pDbE,3m8ox4pUeB,3m8ox4pUeC,3m8ox4pUeF,3m8ox4plhC,3m8ox4plhE,3m8ox4plhH
2018-01-23,-0.9799999999999999,0.6799999999999999,0.2699999999999999,1.1000000000000003,-1.1400000000000001,2.7,-0.7000000000000003,-3.1300000000000003,0.8399999999999999
2018-01-29,-1.6200000000000003,0.38,-0.2100000000000005,0.20000000000000018,-1.6100000000000003,1.8,-0.9200000000000002,-3.7100000000000004,0.44999999999999996
2018-02-04,-1.92,-0.04000000000000009,-1.0100000000000002,1.7900000000000014,-1.2599999999999998,1.45,-1.0799999999999998,-2.6799999999999997,0.26000000000000006
2018-02-10,-1.4499999999999995,0.3600000000000003,-0.4699999999999997,1.5099999999999998,-0.35000000000000003,1.5699999999999998,-0.9299999999999998,-1.9099999999999997,0.6700000000000005
2018-02-16,-1.6400000000000001,0.4,-0.5799999999999998,0.8099999999999994,0.04999999999999977,1.2299999999999995,-1.1199999999999999,-1.1300000000000003,0.34
2018-02-22,-1.4999999999999998,0.7300000000000001,-0.7799999999999998,1.3699999999999997,0.33999999999999975,2.430000000000001,-1.0599999999999998,-0.9000000000000004,0.33000000000000007
2018-02-28,-1.3499999999999999,0.78,-0.44999999999999984,1.4499999999999995,0.69,1.7399999999999998,-0.4399999999999995,-0.5000000000000004,-0.18999999999999995
2018-03-06,-1.06,1.38,-0.44000000000000017,2.49,0.9599999999999997,2.4,-0.12,-0.2700000000000006,-1.1200000000000006
2018-03-12,-0.5700000000000003,2.3199999999999994,-0.010000000000000064,3.69,1.64,3.5200000000000005,-1.6100000000000014,0.6399999999999999,-0.09999999999999953
2018-03-18,0.23999999999999994,2.9499999999999997,0.5399999999999996,4.61,1.6199999999999997,4.2299999999999995,-2.3600000000000003,0.8599999999999998,0.8000000000000003
2018-03-24,0.9899999999999995,3.6399999999999997,0.45999999999999924,5.8500000000000005,2.1199999999999997,4.609999999999999,-1.5599999999999996,0.9199999999999998,1.46
2018-03-30,1.8099999999999996,5.07,1.5199999999999996,7.65,1.56,6.19,-1.8700000000000006,1.5900000000000003,2.93
2018-04-05,2.53,6.1000000000000005,2.9800000000000004,6.6899999999999995,1.23,5.9399999999999995,-2.92,0.7800000000000002,3.5199999999999996
2018-04-11,2.75,6.35,3.3600000000000003,6.9799999999999995,0.6900000000000005,6.21,-3.1499999999999995,0.3,3.2699999999999996
2018-04-17,3.0900000000000003,6.93,3.7600000000000007,8.190000000000001,0.4400000000000002,6.910000000000001,-3.1100000000000003,0.2700000000000001,4.15
2018-04-23,4.13,7.7,4.5600000000000005,9.14,0.15000000000000027,6.41,-3.72,0.4100000000000002,4.790000000000001
2018-04-29,4.09,8.43,4.920000000000001,9.94,-0.75,7.620000000000002,-5.06,0.31000000000000016,5.9300000000000015
2018-05-05,4.970000000000001,8.969999999999999,5.37,10.639999999999999,-0.14999999999999925,8.500000000000002,-6.360000000000001,0.6100000000000002,8.170000000000002
2018-05-11,4.9,8.870000000000001,5.07,10.5,0.5500000000000003,8.080000000000002,-5.340000000000001,-0.24000000000000027,7.83
2018-05-17,4.790000000000001,9.110000000000001,5.29,10.710000000000003,0.24999999999999956,8.27,-5.65,-0.03999999999999998,8.01
2018-05-23,4.6000000000000005,9.22,5.78,10.56,0.2699999999999993,8.37,-6.91,0.3199999999999999,8.45
2018-05-29,4.75,8.899999999999999,5.699999999999999,10.29,0.9499999999999998,7.699999999999999,-7.489999999999999,0.42,7.87
2018-06-04,5.050000000000001,9.240000000000002,5.7700000000000005,10.72,0.75,9.090000000000002,-7.119999999999999,0.65,8.66
