Date,3m8ox52Pxs,3m8ox52Pxx,3m8ox52Pxy,3m8ox52Py3,3m8ox52h0o,3m8ox52h0p,3m8ox52h0r,3m8ox52h0u,3m8ox52h0z,3m8ox52h10,3m8ox52h14,3m8ox52h15,3m8ox52y3s,3m8ox52y3t,3m8ox52y3w,3m8ox52y41,3m8ox52y42,3m8ox53F6t,3m8ox53F6w,3m8ox53F6x,3m8ox53F7A
2019-06-05,5.000000000000001,1.2799999999999998,0.77,6.95,-6.35,-0.4200000000000003,9.0,6.51,-0.5000000000000001,-0.83,-1.2900000000000003,0.8899999999999998,5.67,10.11,11.569999999999999,-0.41999999999999993,-2.28,12.05,-5.199999999999999,-7.2,4.380000000000001
2019-06-11,5.250000000000001,1.85,0.4799999999999998,5.329999999999999,-7.0600000000000005,0.25999999999999995,8.08,6.949999999999999,-0.23000000000000018,-1.2700000000000005,-0.04999999999999999,1.0599999999999998,6.1,9.08,11.890000000000004,-0.40000000000000013,-2.5700000000000003,12.95,-5.659999999999999,-7.28,4.51
2019-06-17,5.470000000000001,2.2199999999999998,0.6900000000000002,4.3100000000000005,-7.22,-0.19000000000000022,8.049999999999999,7.01,0.04999999999999977,-1.3100000000000003,-0.5000000000000004,0.7,6.209999999999999,9.220000000000002,11.760000000000003,-0.2200000000000001,-2.01,14.71,-5.780000000000001,-7.220000000000001,4.42
2019-06-23,5.65,2.8899999999999997,0.4200000000000001,3.5700000000000007,-7.27,0.74,8.22,7.130000000000001,0.14999999999999972,-1.8100000000000005,-0.6600000000000006,1.0100000000000002,6.1000000000000005,9.190000000000001,11.350000000000001,-0.1000000000000004,-2.7700000000000005,14.530000000000001,-6.160000000000001,-7.48,4.580000000000001
2019-06-29,5.8500000000000005,3.1900000000000004,0.050000000000000155,2.9200000000000004,-7.630000000000001,-0.4300000000000006,7.91,7.170000000000001,0.5,-1.5399999999999996,-0.6300000000000002,0.7200000000000002,6.359999999999999,9.15,11.250000000000002,0.37,-1.9299999999999997,13.8,-6.69,-7.8100000000000005,4.760000000000001
2019-07-05,5.750000000000001,4.16,-0.4700000000000001,2.3500000000000005,-7.860000000000001,-0.4800000000000002,7.8,7.280000000000001,1.0700000000000005,-2.6600000000000006,-0.8600000000000003,0.2800000000000001,6.6,8.910000000000002,11.57,0.53,-1.98,13.719999999999999,-6.420000000000001,-7.769999999999999,5.000000000000001
2019-07-11,5.690000000000001,3.9299999999999997,-0.4099999999999998,1.6900000000000002,-8.05,0.27000000000000046,7.62,7.090000000000001,0.9199999999999999,-2.29,-0.5599999999999998,0.4800000000000001,6.65,8.920000000000002,11.49,0.6399999999999998,-1.3100000000000003,13.55,-6.620000000000001,-7.59,5.059999999999999
2019-07-17,5.8500000000000005,4.55,-0.6999999999999998,0.8500000000000001,-8.43,-0.27000000000000024,7.97,7.14,1.0899999999999999,-2.44,-1.16,-0.00999999999999987,7.670000000000002,8.960000000000003,11.150000000000002,0.66,-0.78,13.440000000000003,-6.74,-7.789999999999999,4.8500000000000005
2019-07-23,6.3500000000000005,4.92,-0.5099999999999997,1.0100000000000002,-8.67,-0.46999999999999986,7.6800000000000015,7.630000000000001,1.76,-2.3300000000000005,-1.6699999999999997,0.10000000000000026,7.730000000000002,8.75,11.280000000000001,1.0400000000000003,-0.33000000000000024,13.120000000000001,-6.95,-7.800000000000001,5.3900000000000015
2019-07-29,6.2,4.27,-0.9000000000000001,0.27000000000000013,-9.04,-1.7000000000000006,7.2,7.3100000000000005,1.48,-2.39,-2.2199999999999998,-0.46999999999999986,7.320000000000001,8.39,10.81,1.2700000000000002,0.5900000000000005,12.98,-8.050000000000002,-8.190000000000001,4.74
2019-08-04,5.58,4.539999999999999,-1.4100000000000004,0.20000000000000004,-9.73,-2.4,6.8100000000000005,6.750000000000001,1.5800000000000005,-2.3000000000000003,-3.6100000000000003,-0.7900000000000003,6.76,7.889999999999999,10.74,1.29,0.52,12.129999999999999,-8.58,-8.43,4.489999999999999
2019-08-10,5.46,4.55,-0.9499999999999998,0.1799999999999999,-9.39,-3.5200000000000005,7.65,6.540000000000001,1.81,-1.7500000000000004,-4.91,-0.48,6.53,8.9,10.930000000000001,1.8200000000000005,0.8299999999999997,11.429999999999998,-8.06,-8.200000000000001,4.869999999999999
2019-08-16,5.17,3.1900000000000004,-0.44,0.21999999999999997,-9.49,-2.6999999999999997,7.869999999999999,6.67,2.45,-0.9700000000000005,-4.92,-0.6000000000000001,6.9700000000000015,8.84,11.400000000000002,2.42,1.2199999999999998,12.100000000000001,-7.82,-8.03,5.91
2019-08-22,4.99,3.2300000000000004,-0.08000000000000018,0.5099999999999999,-9.8,-3.6100000000000003,7.57,6.49,2.5999999999999996,-0.2799999999999999,-3.8299999999999996,-0.9200000000000002,6.420000000000001,8.51,11.659999999999998,2.6999999999999997,2.12,12.560000000000002,-8.040000000000001,-7.820000000000001,5.83
2019-08-28,4.9,3.3200000000000016,-0.1900000000000004,1.5699999999999998,-9.780000000000001,-3.6200000000000006,7.66,6.42,2.74,-0.6100000000000003,-3.3299999999999996,-0.9299999999999998,5.14,8.3,11.68,2.71,2.2600000000000002,12.74,-7.34,-7.65,5.6000000000000005
2019-09-03,5.869999999999999,2.4600000000000004,0.49000000000000005,1.5299999999999998,-9.849999999999998,-3.2299999999999995,7.66,5.820000000000001,2.5300000000000002,0.4199999999999998,-3.600000000000001,-1.29,3.9499999999999993,8.46,11.59,2.82,2.42,12.219999999999999,-7.360000000000001,-7.61,5.3500000000000005
2019-09-09,5.930000000000001,2.9900000000000007,0.8099999999999999,2.33,-9.82,-3.3,7.839999999999999,5.920000000000001,2.3499999999999996,0.4899999999999998,-3.6800000000000006,-1.37,3.769999999999999,8.81,11.78,3.1699999999999995,3.07,12.380000000000003,-6.49,-7.460000000000001,5.41
2019-09-15,5.57,3.1500000000000004,0.8799999999999999,3.0399999999999996,-9.870000000000001,-3.470000000000001,7.59,5.52,1.9399999999999997,0.6100000000000001,-4.07,-0.6299999999999997,3.12,8.75,11.8,3.44,3.2299999999999995,12.490000000000002,-6.460000000000002,-7.2700000000000005,5.370000000000001
2019-09-21,5.040000000000001,3.1399999999999997,0.1999999999999998,2.2399999999999998,-10.110000000000001,-3.9800000000000004,7.24,4.910000000000001,1.78,0.7100000000000003,-4.26,-1.4600000000000006,2.830000000000001,8.44,11.9,3.3400000000000007,3.3299999999999996,12.190000000000001,-6.590000000000001,-7.390000000000001,4.58
2019-09-27,5.04,4.0600000000000005,0.7600000000000001,1.9899999999999998,-9.870000000000001,-3.49,7.22,4.680000000000001,2.830000000000001,1.3300000000000005,-3.96,-1.37,3.300000000000001,8.46,11.95,4.530000000000001,3.620000000000001,12.210000000000003,-6.84,-7.110000000000001,4.960000000000001
2019-10-03,4.84,3.8899999999999997,1.0699999999999998,2.2,-9.600000000000001,-2.95,7.08,4.470000000000001,2.76,1.0,-1.9599999999999997,-0.7699999999999998,3.0300000000000002,8.56,11.95,4.53,3.29,12.450000000000003,-6.209999999999999,-6.9,4.98
